Product_ID,Product_Name,Product_Description,Color,Product_Category,Product_Type
CEL4800721,U-NIC RT (GLITZ) MP - BLU,Metal Ball Pen,Blue,Pen,Sell
CEL4800722,U-NIC RT (GLITZ) MP - BLK,Metal Ball Pen,Black,Pen,Sell
CEL4800723,U-NIC RT (GLITZ) MP - SLV,Metal Ball Pen,Silver,Pen,Sell
CEL4800724,WINDSOR RT(CAPPRESS) MP - SBLU,Metal Ball Pen,Sky Blue,Pen,Sell
CEL4800725,WINDSOR RT(CAPPRESS) MP - GRY,Metal Ball Pen,Grey,Pen,Sell
CEL4800726,WINDSOR RT(CAPPRESS) MP- ORG,Metal Ball Pen,Orange,Pen,Sell
CEL4800731,JETSET EXE TWS MP - DBLU,Metal Ball Pen,Dark Blue,Pen,Sell
CEL4800732,JETSET EXE TWS MP - SBLK,Metal Ball Pen,Black,Pen,Sell
CEL4800733,JETSET EXE TWS MP - CBRW,Metal Ball Pen,Brown,Pen,Sell
SUP_PRD_ID_0001,CERAMIC TOUCH BARREL BUTTON,Pen Barrel,Chrome,Barrel,Buy
SUP_PRD_ID_0002,CERAMIC TOUCH CHAKI,,Chrome,,Buy
SUP_PRD_ID_0003,CERAMIC THREAD,Pen Shell,Blue,Thread,Buy
SUP_PRD_ID_0004,CERAMIC CAP BUTTON,Pen Cap Button,Chrome,Button,Buy
SUP_PRD_ID_0005,CERAMIC BARREL BUTTON,Pen Shell,Transparent,Button,Buy
SUP_PRD_ID_0006,PLEASURE BHUNGARI WITH POWDER ABS,,,Powder,Buy
SUP_PRD_ID_0007,216 REFILL SHELL PIPE,Refill Shell,Transparent,Pipe,Buy
SUP_PRD_ID_0008,TWIST TOUCH SOLID SPRING,Spring,Metal,Spring,Buy
SUP_PRD_ID_0009,PVC ROUND BOX -25 PCS PEN,Packaging Box,,Box,Buy
SUP_PRD_ID_0010,23 MM GELETTIN,Pen Shell,Transparent,Pipe,Buy
SUP_PRD_ID_0011,CREAMIC ROLLER NOZZEL,Ball Nib,Metal,Nozzle,Buy
SUP_PRD_ID_0012,412065_EMPIRE lamar_pen,Metal Ball Pen,Blue,Pen,Buy
SUP_PRD_ID_0013,412065_EMPIRE malmi_pen,Metal Ball Pen,Black,Pen,Buy
SUP_PRD_ID_0014,SERBIA OUTER BOX-25 PC INNER,Packaging Box,,Box,Buy
SUP_PRD_ID_0015,1 PCS BOX FOR LINDA,,,,Buy
SUP_PRD_ID_0016,385 ROLLER NOZZLE ROW,Pen Nozzle Part,Metal,Nozzle,Buy
SUP_PRD_ID_0017,385 ROLLER THREAD ROW,Pen Grip,Blue,Thread,Buy
SUP_PRD_ID_0018,385 ROLLER BARREL BUTTON ROW,Pen Barrel Button,Chrome,Button,Buy
SUP_PRD_ID_0019,385 ROLLER RING ROW,Roller Ring,Chrome,Ring,Buy
SUP_PRD_ID_0020,385 ROLLER SECTION BLACK,Roller Ring,Black,Roller,Buy
SUP_PRD_ID_0021,385ROLLER INNER BUTTTON,Pen Inner Button,white,Button,Buy
SUP_PRD_ID_0022,385 ROLLER LOCKING,Pen Button,,Button,Buy
SUP_PRD_ID_0023,CAPPRESS S BUTTON BLACK,Pen Button,Black,Button,Buy
SUP_PRD_ID_0024,SILVER SLEEVE FOR PLASTI BOX,Pen Holder Sleeve,Silver,Sleeve,Buy
SUP_PRD_ID_0025,18 HOLE CLIP N.P,Clip,,Clip,Buy
SUP_PRD_ID_0026,36 HOLE CLIP N.P,Clip,,Clip,Buy
SUP_PRD_ID_0027,325X40 THAV RING C.P,Shell Ring,,Ring,Buy
SUP_PRD_ID_0028,RITTER PLAIN CLIP C.P,Clip,,Clip,Buy
SUP_PRD_ID_0029,335 X12 THAV ALU,,,,Buy
SUP_PRD_ID_0030,0216 GLAYCER BLUE REFILL,Pen Refill,Blue,Refill,Buy
SUP_PRD_ID_0031,POLY GLAYCER BLUE REFILE,Pen Refill,Blue,Refill,Buy
SUP_PRD_ID_0032,385x9 THAV BRASS PIPE,Pen Shell,Brass,Pipe,Buy
SUP_PRD_ID_0033,NEW METIC REFILL SPRING,Spring,Metal,Spring,Buy
SUP_PRD_ID_0034,DURLING POWDER,,,Powder,Buy
SUP_PRD_ID_0035,LIBIYA '50 PCS INNER BOX,Packaging Box,,Box,Buy
SUP_PRD_ID_0036,SILENCE WHEEL,,,,Buy
SUP_PRD_ID_0037,SILENCE DANDI,,,,Buy
SUP_PRD_ID_0038,PH4 NOZZLE BORIYA SET,Pen Nozzle Part,Chrome,Nozzle,Buy
SUP_PRD_ID_0039,OVEL MS NOZZLE,Pen Nozzle Part,Chrome,Nozzle,Buy
SUP_PRD_ID_0040,STERLING UMA CLIP C.P,Clip,,Clip,Buy
SUP_PRD_ID_0041,VIEW BOAT CLIP,Clip,,Clip,Buy
SUP_PRD_ID_0042,VIEW METAL BHUNGRI,Metal Part,,,Buy
SUP_PRD_ID_0043,VIEW METAL NOZZLE,Pen Nozzle Part,Chrome,Nozzle,Buy
SUP_PRD_ID_0044,VIEW HEAVY SPRING,Pen Spring,Metal,Spring,Buy
SUP_PRD_ID_0045,VIEW REFILL SPRING,Pen Spring,Metal,Spring,Buy
SUP_PRD_ID_0046,SERBIA LUMAR BARCODE,Barcode Sticker,White,Sticker,Buy
SUP_PRD_ID_0047,SERBIA MALMI BARCODE,Barcode Sticker,White,Sticker,Buy
SUP_PRD_ID_0048,SCHMIDT ROLLER REFILL BLUE,Pen Refill,Blue,Refill,Buy
SUP_PRD_ID_0049,385 ROLLER BARREL BUTTON SPRING,Pen Spring,Metal,Spring,Buy
SUP_PRD_ID_0050,PH4 UMA CLIP N.P.,Clip,,Clip,Buy
SUP_PRD_ID_0051,432X12 THAV,,,,Buy
SUP_PRD_ID_0052,216 REFILL SHELL PIPE,Refill Shell,Transparent,Pipe,Buy
SUP_PRD_ID_0053,0225 SCRKISS BLUE REFILL,Refill Shell,Blue,Refill,Buy
SUP_PRD_ID_0054,TWIST TOUCH SOLID SPRING,Spring,Metal,Spring,Buy
SUP_PRD_ID_0055,WINTER SILENCE INNER BHUNGRI,,,,Buy
